Alloy Name,Grade,Standard,Density,Melting Point,Target Chemical Composition,Mechanical Properties,Typical Applications,Required Elements,Composition Limits
Stainless Steel 316L,316L,ASTM A240,8.0,1390,"{""Fe"": 68.0, ""Cr"": 17.0, ""Ni"": 12.0, ""Mo"": 2.2, ""Mn"": 1.0, ""Si"": 0.5, ""C"": 0.02, ""P"": 0.035, ""S"": 0.015}","Tensile: 485 MPa, Yield: 170 MPa, Elongation: 40%","Marine hardware, chemical processing piping, medical implants","Fe,Cr,Ni,Mo,Mn,Si,C","{""Fe"": [65.0, 72.0], ""Cr"": [16.0, 18.0], ""Ni"": [10.0, 14.0], ""Mo"": [2.0, 3.0], ""Mn"": [0.0, 2.0], ""Si"": [0.0, 1.0], ""C"": [0.0, 0.03]}"
Stainless Steel 304,304,ASTM A276,8.0,1400,"{""Fe"": 70.0, ""Cr"": 18.5, ""Ni"": 9.0, ""Mn"": 1.5, ""Si"": 0.5, ""C"": 0.05, ""P"": 0.04, ""S"": 0.02}","Tensile: 505 MPa, Yield: 215 MPa, Elongation: 70%","Food containers, architectural trim, pressure vessels","Fe,Cr,Ni,Mn,Si,C","{""Fe"": [66.0, 74.0], ""Cr"": [18.0, 20.0], ""Ni"": [8.0, 10.5], ""Mn"": [0.0, 2.0], ""Si"": [0.0, 1.0], ""C"": [0.0, 0.08]}"
Stainless Steel 321,321,ASTM A240,7.92,1425,"{""Fe"": 70.0, ""Cr"": 18.0, ""Ni"": 10.5, ""Ti"": 0.4, ""Mn"": 1.2, ""Si"": 0.4, ""C"": 0.06}","Tensile: 515 MPa, Yield: 205 MPa, Elongation: 40%","Aircraft exhaust manifolds, heat exchangers, boiler casings","Fe,Cr,Ni,Ti,Mn,Si,C","{""Fe"": [66.0, 73.0], ""Cr"": [17.0, 19.0], ""Ni"": [9.0, 12.0], ""Ti"": [0.3, 0.7], ""Mn"": [0.0, 2.0], ""Si"": [0.0, 1.0], ""C"": [0.0, 0.08]}"
Stainless Steel 410,410,ASTM A276,7.8,1482,"{""Fe"": 86.2, ""Cr"": 12.5, ""Mn"": 0.6, ""Si"": 0.5, ""C"": 0.12}","Tensile: 517 MPa, Yield: 275 MPa, Hardness: 96 HRB","Cutlery, steam turbine blades, valve bodies, fasteners","Fe,Cr,Mn,Si,C","{""Fe"": [84.0, 88.0], ""Cr"": [11.5, 13.5], ""Mn"": [0.0, 1.0], ""Si"": [0.0, 1.0], ""C"": [0.08, 0.15]}"
Duplex 2205,F51,ASTM A182,7.82,1385,"{""Fe"": 68.0, ""Cr"": 22.0, ""Ni"": 5.5, ""Mo"": 3.1, ""Mn"": 1.2, ""Si"": 0.4, ""N"": 0.16, ""C"": 0.02}","Tensile: 655 MPa, Yield: 450 MPa, Hardness: 25 HRC","Chemical tankers, pulp digesters, oil field pipelines","Fe,Cr,Ni,Mo,Mn,Si,N,C","{""Fe"": [64.0, 71.0], ""Cr"": [21.0, 23.0], ""Ni"": [4.5, 6.5], ""Mo"": [2.5, 3.5], ""Mn"": [0.0, 2.0], ""Si"": [0.0, 1.0], ""N"": [0.08, 0.2]}"
Tool Steel D2,D2,ASTM A681,7.7,1421,"{""Fe"": 84.5, ""Cr"": 12.0, ""C"": 1.5, ""Mo"": 0.8, ""V"": 0.8, ""Mn"": 0.3, ""Si"": 0.3}","Tensile: 1730 MPa, Yield: 1530 MPa, Hardness: 60 HRC","Cold forming dies, shear blades, punches, rolls","Fe,Cr,C,Mo,V,Mn,Si","{""Fe"": [82.0, 86.0], ""Cr"": [11.0, 13.0], ""C"": [1.4, 1.6], ""Mo"": [0.7, 1.2], ""V"": [0.5, 1.1]}"
Tool Steel H13,H13,ASTM A681,7.8,1427,"{""Fe"": 90.8, ""Cr"": 5.2, ""Si"": 1.0, ""Mo"": 1.3, ""V"": 1.0, ""C"": 0.4, ""Mn"": 0.3}","Tensile: 1200 MPa, Yield: 1000 MPa, Hardness: 52 HRC","Die casting dies, extrusion dies, core pins, ejector sleeves","Fe,Cr,Si,Mo,V,C","{""Fe"": [88.0, 92.0], ""Cr"": [4.75, 5.5], ""Si"": [0.8, 1.2], ""Mo"": [1.1, 1.75], ""V"": [0.8, 1.2], ""C"": [0.32, 0.45]}"
Alloy Steel 4140,4140,ASTM A29,7.85,1425,"{""Fe"": 97.4, ""Mn"": 0.85, ""Cr"": 0.95, ""C"": 0.4, ""Mo"": 0.2, ""Si"": 0.2}","Tensile: 655 MPa, Yield: 415 MPa, Hardness: 197 HB","Gears, crankshafts, axels, drill collars, bolts","Fe,Mn,Cr,C,Mo","{""Fe"": [96.0, 98.0], ""Mn"": [0.75, 1.0], ""Cr"": [0.8, 1.1], ""C"": [0.38, 0.43], ""Mo"": [0.15, 0.25]}"
Alloy Steel 4340,4340,ASTM A29,7.85,1425,"{""Fe"": 95.8, ""Ni"": 1.8, ""Cr"": 0.8, ""Mn"": 0.7, ""C"": 0.4, ""Mo"": 0.25, ""Si"": 0.25}","Tensile: 745 MPa, Yield: 470 MPa, Hardness: 217 HB","Heavy duty shafts, landing gears, aircraft power transmission","Fe,Ni,Cr,Mn,C,Mo","{""Fe"": [94.5, 96.5], ""Ni"": [1.65, 2.0], ""Cr"": [0.7, 0.9], ""Mn"": [0.6, 0.8], ""C"": [0.38, 0.43], ""Mo"": [0.2, 0.3]}"
Inconel 718,718,ASTM B637,8.19,1300,"{""Ni"": 53.0, ""Cr"": 19.0, ""Fe"": 18.5, ""Nb"": 5.0, ""Mo"": 3.0, ""Ti"": 0.9, ""Al"": 0.5, ""C"": 0.04}","Tensile: 1375 MPa, Yield: 1100 MPa, Hardness: 36 HRC","Gas turbine blades, cryogenic storage tanks, rocket casing","Ni,Cr,Fe,Nb,Mo,Ti,Al,C","{""Ni"": [50.0, 55.0], ""Cr"": [17.0, 21.0], ""Fe"": [15.0, 21.0], ""Nb"": [4.75, 5.5], ""Mo"": [2.8, 3.3]}"
